Unit,Unit No.,Floor Plan Code,Net sf,Occupancy Status,"Enter ""F"" for Future Lease",Market Rent,Lease Start Date,Lease Expiration,"Enter individual charge codes into the blue cells below (ex. rent, conc, petf, etc). For each unit, enter charge amounts in the corresponding columns. RENT",CONC/SPECL,Balance,PETFEE,CARPORT,PARKING,HOUSING,Occupancy Status / Code,"Enter ""F"" for Future Lease / Code",MTOM,PETRENT,GARAGE,Concession,Garbage,Pet Fee,Rent,Pet Rent,Pest Fee,Trash,Insurance Fee,Lease Rent,Required Deposit,Dep On Hand,TRASH,Occupancy Code,"Enter ""F"" for Future Lease.1",MTM,Occupancy Status Code,Occupied Since,Other Income,CABORT,REFERRAL,Move-Out Date,"Enter ""F"" for Future Lease Code",Month To Month,Enter Future Lease,CONC/SUBSIDY,FUTURE_RENT,Enter Other Lease Charge Codes Here,SH,CONC/SUB,PEST,MAINTENANCE,"Enter individual charge codes into the blue cells below (ex. rent, conc, petf, etc). For each unit, enter charge amounts in the corresponding columns. RENT: 1190",Occupationally Accurate Market...,FARE,Rojas Jose,Occupied,"Enter individual charge codes into the blue cells below (ex. rent, maintenance, petfee, etc). For each unit, enter charge amounts in the corresponding columns. RENT","Enter individual charge codes into the blue cells below (ex. rent, conc, petf, etc). For each unit, enter charge amounts in the corresponding columns.:",Enter other rental charges here,Enter other credit amounts here,Insurance,Market Rent Code,Lease Start Date Code,Lease Expiration Code,Occupancy Status Code^1,"Enter ""F"" for Future Lease Code^1",Market Rent Code^1,Lease Start Date Code^1,Lease Expiration Code^1,Map Code,"Enter Individual Charge Codes into the blue cells below (ex. rent, conc, petf, etc). For each unit, enter charge amounts in the corresponding columns. RENT",Occupied Net sf,Legal and Other Non-Refundable Fees,Enter F for Future Lease,Market Rent.1,Lease Start Date.1,Lease Expiration.1,Occupied.1,Actual Rent,Resident Deposit,Other Deposit,Occupancy Influences,Occupied by
10204,10204,60212c2,867.0,Occupied,,1200.0,2019-03-30,2020-06-29,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10205,10205,60212b2,1081.0,Occupied,,1175.0,2018-08-31,2019-09-30,1175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10206,10206,60212b1,1002.0,Occupied,,1140.0,2018-08-27,2019-10-26,1140.0,-1140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10207,10207,60212b1,1002.0,Occupied,,1140.0,2019-02-09,2020-03-31,1440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10208,10208,60212b2,1081.0,Occupied,F,1025.0,2019-07-06,2020-07-06,1015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10209,10209,60312b1,1002.0,Occupied,,1140.0,2018-07-23,2019-08-31,1095.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,133,60212e1,1227.0,Occupied,,1130.0,2018-09-22,2019-11-30,1130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301,10301,71012b2,1176.0,Occupied,,1155.0,2018-09-14,2019-11-30,1206.0,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301,10301,60212c3,1186.0,Occupied,,1200.0,2018-08-20,2019-09-30,275.0,,,,,,936.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10302,10302,60212b1,1002.0,Occupied,,989.0,2019-04-24,2020-05-31,945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10303,10303,60212b1,1002.0,Occupied,,990.0,2019-08-10,2020-08-31,525.0,,,,,,465.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10303,10303,71012c1,1171.0,Occupied,,1120.0,2018-09-17,2019-10-31,1120.0,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10304,10304,60212b2,1081.0,Occupied,,1025.0,2019-03-20,2020-03-31,1025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10305,10305,60212b1,1081.0,Occupied,,1025.0,2018-08-18,2019-09-30,1025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10305,10305,60212c4,1304.0,Occupied,,1155.0,2018-09-21,2019-10-20,1155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10306,10306,60212b1,1002.0,VACANT,F,1140.0,2023-10-16,2024-10-31,1140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10307,10307,60212b1,1002.0,Occupied,,990.0,2018-09-10,2019-10-09,929.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10307,10307,60212b,1201.0,Occupied,,1185.0,2019-03-09,2020-03-31,1185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10308,10308,60212b2,1081.0,Occupied,,1025.0,2019-03-01,2020-02-29,994.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10309,10309,60212b1,1002.0,occupied,,1140.0,2019-09-04,2020-09-30,1136.0,,,,,,,occupied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10310,10310,60212b1,1002.0,Occupied,,1140.0,2018-01-12,2019-02-11,1079.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,134,60212c1,1156.0,Occupied,,1190.0,2018-12-12,2020-02-29,1190.0,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,134,A1,522.0,Occupied,,649.0,2019-01-31,2020-04-30,610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,134,A2,867.0,Occupied,,880.0,2018-11-10,2019-12-31,815.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,102,60212c1,882.0,Occupied,,895.0,2019-02-02,2020-04-30,825.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,1106,60212c2,1201.0,Occupied,,1120.0,2017-10-01,2018-09-30,948.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,1013,60212c3,1259.0,Occupied,,1185.0,2019-02-01,2020-02-29,1185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,1015,60212c2,1201.0,Vacant,,1270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10210,10210,7212b3,1078.0,Occupied,,1160.0,2019-03-15,2020-03-31,1160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,135,60209c3,1256.0,Occupied,,1170.0,2018-06-01,2019-07-31,1170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205,1205,60212,1304.0,Occupied,,1155.0,2018-06-09,2019-07-08,140.0,-167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202,1202,60212c,882.0,Occupied,,880.0,2018-08-01,2019-07-31,870.0,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,123,60212c1,1015.0,Occupied,,980.0,2019-06-21,2020-06-30,880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,123,A1,450.0,Occupied,F,650.0,2019-06-01,2020-06-30,650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208,1208,52212c4,1304.0,Occupied,F,1170.0,2023-10-06,2024-10-31,1180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206,1206,60212c,1201.0,Occupied,,1210.0,2018-07-01,2019-06-30,1210.0,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12303,12303,71012c,1171.0,Occupied,,1170.0,2018-10-01,2019-09-30,1170.0,,,,,,,,,,,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12308,12308,70212c,867.0,Occupied,,1180.0,2018-02-20,2019-03-19,1180.0,-1180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1237,1237,A8212,1304.0,Occupied,,1155.0,2019-01-04,2019-09-30,,,,,,,,Occupied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1237,1237,B1,1176.0,Occupied,,1450.0,2019-04-01,2020-05-31,1386.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1237,1237,A2,867.0,Occupied,,1150.0,2019-04-16,2020-05-15,1243.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11307,11307,A2,867.0,Occupied,,1155.0,2019-03-01,2020-02-29,1158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,136,60212c,1227.0,Occupied,,1130.0,2018-09-01,2019-08-31,1385.0,,,,,,,Occupied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1317,1317,A1,522.0,Occupied,,735.0,2019-05-10,2020-06-30,735.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12307,12307,A2,867.0,Occupied,F,1190.0,2019-01-28,2020-02-29,1190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12307,12307,A2,867.0,Occupied,,1190.0,2019-06-03,2020-07-02,1190.0,-399.77,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1247,1247,A2,1066.0,Occupied,,1081.0,2019-05-01,2020-03-31,1081.0,,,,,,,,,,,,-428.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13726,13726,A2,867.0,Occupied,,1190.0,2019-04-12,2020-07-31,1190.0,,,,,,,,,,,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14336,14336,C1,1256.0,Occupied,,1540.0,2018-07-07,2019-08-06,1471.0,,,,,,,,,,,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1428,1428,A2,867.0,Occupied,F,1180.0,2023-10-20,2024-11-19,1180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1428,1428,A2,647.0,Occupied,F,1076.0,2023-10-10,2024-10-31,1076.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1428D,1428D,A2,867.0,Occupied,F,1165.0,2019-06-01,2020-06-30,1095.0,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216,1216,A2,867.0,Occupied,,1155.0,2019-05-20,2020-06-30,1155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216,1216,A2,867.0,Occupied,,1125.0,2018-07-27,2019-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216,1216,A1,736.0,Occupied,,1103.0,2019-02-23,2020-04-30,1093.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1376,1376,A2,867.0,Occupied,,1200.0,2019-06-01,2020-06-30,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,137,60212,885.0,Occupied,,1200.0,2018-04-18,2019-05-31,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,137,A2,720.0,Occupied,,1093.0,2019-08-23,2020-09-30,1083.0,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3216,3216,A2,867.0,Occupied,,1200.0,2019-06-21,2020-06-30,1210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3216,3216,B2,1253.0,Occupied,,1475.0,2019-06-14,2020-07-13,1458.0,-147.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1376L,1376L,A2,911.0,Occupied,,1200.0,2019-02-01,2020-03-31,1200.0,,,,,,,,,,,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,1227,A2,867.0,Occupied,F,1200.0,2019-07-01,2020-06-30,1258.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1247B,1247B,A1,736.0,Occupied,,1093.0,2018-09-10,2019-10-09,1083.0,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,1217,A1,736.0,Occupied,,1093.0,2018-12-29,2019-01-30,1093.0,,,,35.0,,,,,,,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,1217,A2,867.0,Occupied,,1190.0,2019-06-07,2020-06-30,1190.0,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,1217,B1,754.0,Occupied,,1121.0,2019-02-10,2020-02-09,1121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,1217,A2,867.0,Occupied,,1185.0,2019-06-14,2020-07-13,1185.0,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117C,117C,A1,736.0,Occupied,,1103.0,2019-06-08,2020-07-07,1093.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12206,12206,A1,735.0,Occupied,,1095.0,2019-01-25,2020-02-24,1085.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12206,12206,B2,1251.0,Occupied,,1520.0,2018-06-04,2019-07-03,1478.0,-1520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12206,12206,B2,1255.0,Occupied,,1520.0,2018-01-08,2019-05-07,,,,,,,,,,,,,,35.0,25.0,1478.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12206,12206,A2,867.0,Occupied,,935.0,2018-07-03,2019-08-02,,,0.0,,,,,,,,,,,,,895.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12206,12206,A2,647.0,Occupied,,935.0,2018-09-14,2019-10-31,915.0,,,,,,,Occupied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3554C,3554C,A1CF,706.0,Occupied-NTVL,N,979.0,2018-09-04,2019-11-03,,,-15.6,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,882.0,882.0,882.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3554C,3554C,A1CF,706.0,Occupied-NTVL,F,979.0,2019-12-05,2020-12-04,,,99.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,979.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12106B,12106B,A2,867.0,Occupied,,1180.0,2019-05-23,2020-06-30,965.0,-233.0,,,,,,,,,80.0,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,138,60212c2,1176.0,Occupied,,1200.0,2018-09-01,2019-08-31,1050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,138,A1,522.0,Occupied,,736.0,2019-06-01,2019-11-30,736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,138,A1,522.0,Occupied,,635.0,2019-05-03,2020-05-04,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,1218,B1,1176.0,Occupied,,1425.0,2018-11-08,2019-12-07,1361.0,,,,,,,,,,,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
